正規化後罪名(去未遂),次數,疑似雜訊,原始寫法範例(最多3個)
行相互分工以遂行整體三人以上共犯詐欺取財、行使偽造私文書、行使偽造特種文書、洗錢等犯罪,1,,行相互分工以遂行整體三人以上共犯詐欺取財、行使偽造私文書、行使偽造特種文書、洗錢等犯罪
或共犯之犯罪,1,是,或共犯之犯罪
意圖販賣而持有第二級毒品而混合二種以上之毒品罪,1,,意圖販賣而持有第二級毒品而混合二種以上之毒品罪
罪權限之公務員或機關陳述其犯罪,1,是,罪權限之公務員或機關陳述其犯罪
罪之具體事實及其犯罪,1,是,罪之具體事實及其犯罪
納稅義務人以詐術逃漏稅捐罪,1,,幫助納稅義務人以詐術逃漏稅捐罪
第之1第1項第1款「緩刑前因故意犯他罪,1,,第之1第1項第1款「緩刑前因故意犯他罪
犯刑法339條之4之罪,1,,前段之犯刑法339條之4之罪
罪之非難評價、各罪,1,是,罪之非難評價、各罪
各罪之原定刑度、定應執行刑之外部界限與內部界限(就附表編號1所示各罪,1,是,各罪之原定刑度、定應執行刑之外部界限與內部界限(就附表編號1所示各罪
對依法執行職務之公務員施脅迫之妨害公務執行罪,1,,前段之侮辱公務員罪及同法第135條第1項之對依法執行職務之公務員施脅迫之妨害公務執行罪
對於未滿14歲之女子為猥褻罪,1,,對於未滿14歲之女子為猥褻罪
附表編號3、4「罪,1,是,附表編號3、4「罪
行參與詐欺集團犯罪,1,,行參與詐欺集團犯罪
自白並繳交犯罪,1,,罪危害防制條例第47條自白並繳交犯罪
罪條例有關自白減輕之規定：按犯前四條之罪,1,是,罪條例有關自白減輕之規定：按犯前四條之罪
後於警詢中已就本件犯罪,1,是,後於警詢中已就本件犯罪
行自白上開洗錢、參與犯罪,1,,行自白上開洗錢、參與犯罪
如附表編號3所犯參與犯罪,1,是,如附表編號3所犯參與犯罪
、第2款之罪,1,,刑法第339條之4第1項第1款、第2款之罪
冒用政府機關或公務員名義犯詐欺取財罪,1,,冒用政府機關或公務員名義犯詐欺取財罪
行所犯參與犯罪,1,,行所犯參與犯罪
罪所得新臺幣拾柒萬元、林國瑞未扣案之犯罪,1,是,罪所得新臺幣拾柒萬元、林國瑞未扣案之犯罪
罪事實：1、第1至4行：劉辰恩於民國113年1月間參與詐欺集團犯罪,1,是,罪事實：1、第1至4行：劉辰恩於民國113年1月間參與詐欺集團犯罪
罪所得認定部分如後所載）即被告本件犯行獲有犯罪,1,是,罪所得認定部分如後所載）即被告本件犯行獲有犯罪
行所犯三人以上共同詐欺取財及洗錢罪,1,,行所犯三人以上共同詐欺取財及洗錢罪
自白減刑規定：按犯詐欺犯罪,1,,罪危害防制條例第47條自白減刑規定：按犯詐欺犯罪
行有取得犯罪,1,,行有取得犯罪
違法分派股息紅利罪,1,,違法分派股息紅利罪
如附表一、附表二、附表三、附表四、附表五、附表六「罪,1,是,如附表一、附表二、附表三、附表四、附表五、附表六「罪
無故取得他人電腦之電磁紀錄罪,1,,無故取得他人電腦之電磁紀錄罪
妨害信用罪,1,,妨害信用罪
擅自以改作之方法侵害他人之著作財產權罪,1,,擅自以改作之方法侵害他人之著作財產權罪
對未滿14歲女子為強制猥褻罪,1,,對未滿14歲女子為強制猥褻罪
附表A編號1、編號2所示之罪,1,是,附表A編號1、編號2所示之罪
侵占遺失物離本人持有物罪,1,,侵占遺失物離本人持有物罪
違反保護令罪,1,,違反保護令罪
駕駛動力交通工具而尿液所含毒品及代謝物達行政院公告之品項及濃度值以上罪,1,,駕駛動力交通工具而尿液所含毒品及代謝物達行政院公告之品項及濃度值以上罪
非公務機關違法蒐集個人資料罪,1,,非公務機關違法蒐集個人資料罪
、第2款之無正當理由期約對價而交付、提供合計3個以上帳戶予他人使用罪,1,,洗錢防制法第22條第3項第1款、第2款之無正當理由期約對價而交付、提供合計3個以上帳戶予他人使用罪
同條第5項之持有第三級毒品純質淨重逾五公克以上之罪,1,,持有第二級毒品罪及同條第5項之持有第三級毒品純質淨重逾五公克以上之罪
持有第三級毒品純質淨重逾五公克以上之罪,1,,持有第三級毒品純質淨重逾五公克以上之罪
與未滿十六歲之人為有對價之性交行為罪,1,,與未滿十六歲之人為有對價之性交行為罪
違背封印效力罪,1,,違背封印效力罪
對醫事人員以強暴及其他非法方法妨害執行醫療罪,1,,對醫事人員以強暴及其他非法方法妨害執行醫療罪
結夥三人以上毀壞安全設備竊盜罪,1,,結夥三人以上毀壞安全設備竊盜罪
、第216條行使業務登載不實文書罪,1,,刑法第215條、第216條行使業務登載不實文書罪
：被告所犯行使業務登載不實文書罪,1,,：被告所犯行使業務登載不實文書罪
罪時間、空間緊接、犯罪,1,是,罪時間、空間緊接、犯罪
行係以一行為同時觸犯行使業務登載不實文書罪,1,,行係以一行為同時觸犯行使業務登載不實文書罪
侵占離本人持有物罪,1,,侵占離本人持有物罪
未經許可販賣非制式手槍罪,1,,未經許可販賣非制式手槍未遂罪
未經許可於夜間及公共場所攜帶刀械罪,1,,未經許可於夜間及公共場所攜帶刀械罪
如附表一至五所示之參拾伍罪,1,是,如附表一至五所示之參拾伍罪
規定）之申報公告不實罪,1,,規定（違反同法第20條第2項規定）之申報公告不實罪
、第一項第一款犯罪,1,,證券交易法第一百七十一條第二項、第一項第一款犯罪
有投票權人收受賄賂罪,1,,有投票權人收受賄賂罪
出示圈選內容等罪,1,,而犯同法第91條之教唆出示圈選內容等罪
規定之洗錢罪,1,,後段規定之洗錢罪
強盜罪,1,,強盜未遂罪
如附表二編號五至二十一「罪,1,是,如附表二編號五至二十一「罪
如附表二編號一至三、五至二十一「罪,1,是,如附表二編號一至三、五至二十一「罪
附表A編號1至編號2所示之罪,1,是,附表A編號1至編號2所示之罪
無故利用電腦系統漏洞而入侵他人電腦罪,1,,無故利用電腦系統漏洞而入侵他人電腦罪
非公務機關非法利用個人資料之一罪,1,,違反同法第20條第1項之非公務機關非法利用個人資料之一罪
對未滿14歲之女子犯強制性交罪,1,,對未滿14歲之女子犯強制性交罪
對未滿14歲之女子為性交罪,1,,對未滿14歲之女子為性交罪
對14歲以上未滿16歲之女子為性交罪,1,,對14歲以上未滿16歲之女子為性交罪
對未滿十四歲之女子為強制性交罪,1,,對未滿十四歲之女子為強制性交罪
對未滿十四歲之女子為性交罪,1,,對未滿十四歲之女子為性交罪
對十四歲以上未滿十六歲之女子為性交罪,1,,對十四歲以上未滿十六歲之女子為性交罪
如附表編號1至3、編號5、6所示各罪,1,是,如附表編號1至3、編號5、6所示各罪
：被告邱鍵昇所犯上開參與犯罪,1,,：被告邱鍵昇所犯上開參與犯罪
後於偵查、本院準備程序及審判期日均自白參與犯罪,1,,後於偵查、本院準備程序及審判期日均自白參與犯罪
攜帶兇器毀越安全設備踰越窗戶侵入住宅竊盜罪,1,,攜帶兇器毀越安全設備踰越窗戶侵入住宅竊盜罪
罪所得欄所示犯罪,1,是,罪所得欄所示犯罪
汽車駕駛人未領有駕駛執照駕車之過失傷害罪,1,,汽車駕駛人未領有駕駛執照駕車之過失傷害罪
本案有期徒刑以上之竊盜罪,1,,本案有期徒刑以上之竊盜罪
之前案均係竊盜犯罪,1,,之前案均係竊盜犯罪
非法搜索罪,1,,非法搜索罪
附表Ａ所示之罪,1,是,附表Ａ所示之罪
附表Ｂ所示之罪,1,是,附表Ｂ所示之罪
附表Ｃ所示之罪,1,是,附表Ｃ所示之罪
附表Ｄ編號三所示之罪,1,是,附表Ｄ編號三所示之罪
附表Ｅ所示之罪,1,是,附表Ｅ所示之罪
上開之罪,1,,上開之罪
商業負責人明知為不實事項而填製會計憑證罪,1,,商業會計法第71條第1款之商業負責人明知為不實事項而填製會計憑證罪
各罪之犯罪,1,是,各罪之犯罪
製造少年為猥褻行為性影像罪,1,,製造少年為猥褻行為性影像罪
及第2項第1款之意圖供行使之用而攜帶兇器在公眾得出入場所聚集三人以上首謀施強暴罪,1,,後段及第2項第1款之意圖供行使之用而攜帶兇器在公眾得出入場所聚集三人以上首謀施強暴罪
及第2項第1款之意圖供行使之用而攜帶兇器在公眾得出入場所聚集三人以上在場助勢罪,1,,前段及第2項第1款之意圖供行使之用而攜帶兇器在公眾得出入場所聚集三人以上在場助勢罪
意圖供行使之用而攜帶兇器在公眾得出入場所聚集三人以上首謀施強暴罪,1,,意圖供行使之用而攜帶兇器在公眾得出入場所聚集三人以上首謀施強暴罪
意圖供行使之用而攜帶兇器在公眾得出入場所聚集三人以上下手實施強暴罪,1,,意圖供行使之用而攜帶兇器在公眾得出入場所聚集三人以上下手實施強暴罪
恐嚇取財、第305條之恐嚇危害安全等罪,1,,刑法第346條第1項之恐嚇取財、第305條之恐嚇危害安全等罪
成年人故意對兒童犯違反保護令罪,1,,成年人故意對兒童犯違反保護令罪
無正當理由收受對價而交付帳戶予他人使用罪,1,,無正當理由收受對價而交付帳戶予他人使用罪
加重竊盜罪,1,,加重竊盜罪
意圖販賣而未經核准擅自輸入之醫療器材罪,1,,意圖販賣而未經核准擅自輸入之醫療器材罪
意圖販賣而未經核准擅自輸入醫療器材罪,1,,意圖販賣而未經核准擅自輸入醫療器材罪
行情節及罪,1,,行情節及罪
之侵占遺失物罪,1,,之侵占遺失物罪
普通詐欺取財罪,1,,普通詐欺取財罪
偽造國民身分證罪,1,,偽造國民身分證罪
偽造公印文罪,1,,偽造公印文罪
非法寄藏槍枝之主要組成零件罪,1,,非法寄藏槍枝之主要組成零件罪
結夥三人以上毀壞門窗侵入住宅竊盜罪,1,,結夥三人以上毀壞門窗侵入住宅竊盜罪
違反維持法庭秩序之命令罪,1,,違反維持法庭秩序之命令罪
行即附表編號1部分（即起訴書犯罪,1,是,行即附表編號1部分（即起訴書犯罪
行相互分工以遂行整體三人以上共犯詐欺取財、行使偽造私文書、行使偽造特種文書罪,1,,行相互分工以遂行整體三人以上共犯詐欺取財、行使偽造私文書、行使偽造特種文書罪
行）、洗錢等犯罪,1,,行）、洗錢等犯罪
行所犯上開行使偽造私文書、行使偽造特種文書（僅附表編號1部分）、三人以上共同犯詐欺取財罪,1,是,行所犯上開行使偽造私文書、行使偽造特種文書（僅附表編號1部分）、三人以上共同犯詐欺取財罪
罪防制條例所稱「犯罪,1,是,罪防制條例所稱「犯罪
所稱之參與犯罪,1,,罪防制條例第3條第1項所稱之參與犯罪
罪成員是否構成違反組織犯罪,1,是,罪成員是否構成違反組織犯罪
罪防制條例罪,1,是,罪防制條例罪
罪之每一個犯罪,1,是,罪之每一個犯罪
行中再次論罪,1,,行中再次論罪
行併論參與犯罪,1,,行併論參與犯罪
行並犯組織犯罪,1,,行並犯組織犯罪
行併涉犯上開規定及罪,1,,行併涉犯上開規定及罪
行係從一重之三人以上共同詐欺取財既遂罪,1,,行係從一重之三人以上共同詐欺取財既遂罪
故意遺漏會計事項不為記錄致使財務報表發生不實之結果罪,1,,故意遺漏會計事項不為記錄致使財務報表發生不實之結果罪
而犯同法第19條第1項後段之一般洗錢罪,1,,三人以上共同詐欺取財罪及違反洗錢防制法第2條第1款而犯同法第19條第1項後段之一般洗錢罪
使公務員登載不實書罪,1,,使公務員登載不實書罪
對未滿14歲女子犯加重強制猥褻罪,1,,對未滿14歲女子犯加重強制猥褻罪
成年人故意對少年犯強制猥褻罪,1,,成年人故意對少年犯強制猥褻罪
冒用他人合法醫療器材名稱與說明書罪,1,,醫療器材管理法第六十一條第一項之冒用他人合法醫療器材名稱與說明書罪
轉讓毒品之罪,1,,轉讓毒品之罪
未經許可持有具有殺傷力之子彈罪,1,,未經許可持有具有殺傷力之子彈罪
攜帶兇器侵入住宅強盜罪,1,,攜帶兇器侵入住宅強盜罪
罪所得新臺幣拾伍萬及供犯罪,1,是,罪所得新臺幣拾伍萬及供犯罪
未經許可寄藏其他可發射金屬或子彈具有殺傷力之槍枝罪,1,,未經許可寄藏其他可發射金屬或子彈具有殺傷力之槍枝罪
未經許可寄藏槍砲之主要組成零件罪,1,,未經許可寄藏槍砲之主要組成零件罪
非法寄藏可發射金屬或子彈具有殺傷力之槍枝罪,1,,非法寄藏可發射金屬或子彈具有殺傷力之槍枝罪
之透過網路方式販賣侵害商標權之商品罪,1,,後段之之透過網路方式販賣侵害商標權之商品罪
攜帶兇器毀壞安全設備竊盜罪,1,,攜帶兇器毀壞安全設備竊盜罪
罪所得新臺幣參萬元、張稚民犯罪,1,是,罪所得新臺幣參萬元、張稚民犯罪
對於因教育關係受自己監督之人利用權勢猥褻罪,1,,對於因教育關係受自己監督之人利用權勢猥褻罪
對於因教育關係受自己監督之人利用權勢性交罪,1,,對於因教育關係受自己監督之人利用權勢性交罪
、第三項第二款之罪,1,,水污染防治法第三十六條第五項、第三項第二款之罪
及第2款之三人以上共同冒用公務員名義詐欺取財罪,1,,及第2款之三人以上共同冒用公務員名義詐欺取財罪及修正後洗錢防制法第19條第1項後段之洗錢罪
攜帶兇器剝奪他人行動自由罪,1,,攜帶兇器剝奪他人行動自由罪
肇事逃逸之犯罪,1,是,肇事逃逸之犯罪
罪行為人應於有偵（調）查犯罪,1,是,罪行為人應於有偵（調）查犯罪
罪事實或犯罪,1,是,罪事實或犯罪
罪行為人自首犯罪,1,是,罪行為人自首犯罪
罪組織集團（黃俞賓參與犯罪,1,是,罪組織集團（黃俞賓參與犯罪
、第1項第2款之罪,1,,刑法第339條之4第2項、第1項第2款之罪
所規範之犯罪,1,是,罪防制條例第2條第1項所規範之犯罪
行使偽造私文書及行使偽造特種文書罪,1,,行使偽造私文書及行使偽造特種文書罪
：被告所犯上開參與犯罪,1,,：被告所犯上開參與犯罪
後於警詢、本院準備程序、審判期日均自白參與犯罪,1,,後於警詢、本院準備程序、審判期日均自白參與犯罪
罪預備之物：1、供犯罪,1,是,罪預備之物：1、供犯罪
前項之罪,1,,前項之罪
販賣第三級毒品而混合兩種以上之毒品罪,1,,販賣第三級毒品而混合兩種以上之毒品未遂罪
意圖營利供給賭博場所罪,1,,前段之意圖營利供給賭博場所罪
服用毒品致不能安全駕駛罪,1,,服用毒品致不能安全駕駛罪
竊盜罪共3罪,1,,竊盜罪共3罪
於夜間非法攜帶刀械罪,1,,於夜間非法攜帶刀械罪
罪所用之偽造以晟益股份有限公司出具之員工證壹份、扣案供犯罪,1,是,罪所用之偽造以晟益股份有限公司出具之員工證壹份、扣案供犯罪
如附表六編號1至22主文欄所示之貳拾貳罪,1,是,如附表六編號1至22主文欄所示之貳拾貳罪
論處之隱匿特定犯罪所得去向之洗錢等罪,1,,而依同法第14條第1項論處之隱匿特定犯罪所得去向之洗錢等罪
所為犯罪,1,,所為犯罪
侵占脫離本人持有物品罪,1,,侵占脫離本人持有物品罪
關係：查被告2人就起訴書犯罪,1,,關係：查被告2人就起訴書犯罪
：按刑事法若干犯罪,1,,：按刑事法若干犯罪
」之職業性、營業性或收集性等具有重複特質之犯罪,1,是,」之職業性、營業性或收集性等具有重複特質之犯罪
：被告2人所犯圖利供給賭博場所及圖利聚眾賭博2罪,1,,：被告2人所犯圖利供給賭博場所及圖利聚眾賭博2罪
傷害直系血親尊親屬罪,1,,傷害直系血親尊親屬罪
實行跟蹤騷擾行為罪,1,,實行跟蹤騷擾行為罪
未經許可寄藏子彈罪,1,,未經許可寄藏子彈罪
如表二「罪,1,,如表二「罪
（修正前）之罪,1,,及刑法第276條第2項（修正前）之罪
變造特種文書罪,1,,變造特種文書罪及戶籍法第75條第1項之變造國民身分證罪
變造國民身分證罪,1,,變造特種文書罪及戶籍法第75條第1項之變造國民身分證罪
未經許可於公共場所攜帶刀械罪,1,,未經許可於公共場所攜帶刀械罪
非法寄藏制式子彈罪,1,,非法寄藏制式子彈罪
之普通竊盜罪,1,,之普通竊盜罪
毀損罪）及同法第139條第1項損壞公務員依法所施之封印罪,1,,妨害公務員職務上掌管之物品罪（本罪罪質包含刑法第354條毀損罪）及同法第139條第1項損壞公務員依法所施之封印罪
普通侵占罪,1,,普通侵占罪
非法經營期貨槓桿交易商罪,1,,非法經營期貨槓桿交易商罪
笫1項之一般洗錢罪,1,,笫1項之一般洗錢罪
本案3罪,1,,本案3罪
無正當理由提供合計3個以上帳戶及帳號予他人使用罪,1,,無正當理由提供合計3個以上帳戶及帳號予他人使用罪
無正當理由提供合計三個以上帳戶及帳號予他人使用罪,1,,洗錢防制法第二十二條第三項第二款之無正當理由提供合計三個以上帳戶及帳號予他人使用罪
圖利容留性交及猥褻罪,1,,圖利容留性交及猥褻罪
如附表一編號1至編號6、編號8、編號17、編號18「罪,1,是,如附表一編號1至編號6、編號8、編號17、編號18「罪
非法經營收受存款業務其犯罪所得達1億元以上之罪,1,,後段之非法經營收受存款業務其犯罪所得達1億元以上之罪
附表1至4「罪,1,是,附表1至4「罪
無故侵入他人住宅附連圍繞之土地罪,1,,無故侵入他人住宅附連圍繞之土地罪
無故入侵他人電腦罪,1,,無故入侵他人電腦罪
罪集團利用以作為人頭帳戶遂行詐欺犯罪,1,是,罪集團利用以作為人頭帳戶遂行詐欺犯罪
行者遮斷犯罪,1,,行者遮斷犯罪
炒作股價罪,1,,炒作股價罪
上開三人以上共同犯詐欺取財及洗錢等罪,1,,上開三人以上共同犯詐欺取財及洗錢等罪
罪中所扮演角色及參與犯罪,1,是,罪中所扮演角色及參與犯罪
之數罪,1,,之數罪
及第210條之行使偽造私文書罪,1,,及第210條之行使偽造私文書罪
第305條之恐嚇危害安全罪,1,,毀損他人物品罪及第305條之恐嚇危害安全罪
毀損公務員職務上掌管物品罪,1,,毀損公務員職務上掌管物品罪
行之全部犯罪,1,,行之全部犯罪
行使偽造私文書、三人以上共同犯詐欺取財罪,1,,行使偽造私文書、三人以上共同犯詐欺取財罪
第1目所規定之詐欺犯罪,1,,罪危害防制條例第2條第1款第1目所規定之詐欺犯罪
罪條例等規定）：按犯前4條之罪,1,是,罪條例等規定）：按犯前4條之罪
行未取得犯罪,1,,行未取得犯罪
行並未獲有報酬或犯罪,1,,行並未獲有報酬或犯罪
本件犯行獲有犯罪,1,,本件犯行獲有犯罪
不正利用自動付款設備罪,1,,不正利用自動付款設備罪
罪事實：1、第1頁第1至3行：刁柏展基於參與犯罪,1,是,罪事實：1、第1頁第1至3行：刁柏展基於參與犯罪
罪組織集團（刁柏展參與犯罪,1,是,罪組織集團（刁柏展參與犯罪
行相互分工以遂行整體加重詐欺取財、行使偽造私文書、行使偽造特種文書及洗錢等犯罪,1,,行相互分工以遂行整體加重詐欺取財、行使偽造私文書、行使偽造特種文書及洗錢等犯罪
意圖營利未經他人同意無故販賣他人之性影像罪,1,,意圖營利未經他人同意無故販賣他人之性影像罪
、第1項之意圖營利未經他人同意無故販賣他人遭攝錄之性影像罪,1,,刑法第319條之3第4項、第1項之意圖營利未經他人同意無故販賣他人遭攝錄之性影像罪
：按刑法上販賣猥褻影像（如竊錄之他人性影像）罪,1,,：按刑法上販賣猥褻影像（如竊錄之他人性影像）罪
之1罪,1,,之1罪
罪事實告訴人、犯罪,1,是,罪事實告訴人、犯罪
行所獲犯罪,1,,行所獲犯罪
利用不正方法致使財務報表發生不實結果罪,1,,利用不正方法致使財務報表發生不實結果罪
對於未滿14歲之女子為猥褻行為罪,1,,對於未滿14歲之女子為猥褻行為罪
罪規模/應沒收金額」欄所示之犯罪,1,是,罪規模/應沒收金額」欄所示之犯罪
及同條第2項之運輸第一級毒品罪,1,,及同條第2項之運輸第一級毒品罪
對於14歲以上未滿16歲之男子為猥褻之行為罪,1,,對於14歲以上未滿16歲之男子為猥褻之行為罪
毀越門窗牆垣竊盜罪,1,,毀越門窗牆垣竊盜罪
使公務員為不實登載罪,1,,使公務員為不實登載罪
公共危險罪,1,,公共危險罪
失火燒燬住宅、建築物及交通工具以外之物罪,1,,失火燒燬住宅、建築物及交通工具以外之物罪
拍攝兒童性影像罪,1,,拍攝兒童性影像罪
汽車駕駛人駕駛執照經吊扣期間駕車致過失傷害罪,1,,汽車駕駛人駕駛執照經吊扣期間駕車致過失傷害罪
意圖供行使之用而攜帶兇器妨害公務執行罪,1,,意圖供行使之用而攜帶兇器妨害公務執行罪
汽車駕駛人無駕駛執照駕車過失傷害罪,1,,汽車駕駛人無駕駛執照駕車過失傷害罪
恐嚇取財、第305條之恐嚇危害安全罪,1,,刑法第346條第1項之恐嚇取財、第305條之恐嚇危害安全罪
罪行為人之實際犯罪,1,是,罪行為人之實際犯罪
罪行為人不能坐享犯罪,1,是,罪行為人不能坐享犯罪
失火燒燬住宅、建築物及交通工具以外物品罪,1,,刑法第一百七十五條第三項之失火燒燬住宅、建築物及交通工具以外物品罪
非公務機關犯非法蒐集個人資料罪,1,,非公務機關犯非法蒐集個人資料罪
成年人與少年共同意圖供行使之用而攜帶兇器在公共場所聚集三人以上下手實施強暴罪,1,,成年人與少年共同意圖供行使之用而攜帶兇器在公共場所聚集三人以上下手實施強暴罪
結夥三人以上毀越安全設備竊盜罪,1,,結夥三人以上毀越安全設備竊盜罪
以其他違反本人意願之方式使少年被拍攝性影像罪,1,,兒童及少年性剝削防制條例第三十六條第三項之以其他違反本人意願之方式使少年被拍攝性影像罪
三人以上共同詐欺取財且詐欺獲取之財物達伍佰萬元罪,1,,三人以上共同詐欺取財且詐欺獲取之財物達伍佰萬元罪
第1條第1項之不能安全駕駛動力交通工具罪,1,,第1條第1項之不能安全駕駛動力交通工具罪
詐偽買賣有價證券罪,1,,詐偽買賣有價證券罪
罪行為人為他人實施違法行為所取得之犯罪,1,是,罪行為人為他人實施違法行為所取得之犯罪
、第三項之以詐術妨害投標罪,1,,政府採購法第八十七條第六項、第三項之以詐術妨害投標未遂罪
附表編號1至7「罪,1,是,附表編號1至7「罪
、第3款侵入住宅、攜帶兇器竊盜罪,1,,刑法第321條第1項第1款、第3款侵入住宅、攜帶兇器竊盜罪
刑法321條第1項第2款踰越門扇竊盜罪,1,,刑法321條第1項第2款踰越門扇竊盜罪
、第3款踰越門扇、攜帶兇器竊盜罪,1,,刑法第321條第1項第2款、第3款踰越門扇、攜帶兇器竊盜罪
、第3款踰越安全設備、攜帶兇器竊盜罪,1,,刑法第321條第1項第2款、第3款踰越安全設備、攜帶兇器竊盜罪
踰越門扇、攜帶兇器竊盜罪,1,,踰越門扇、攜帶兇器竊盜罪
規定加重（被告俞易廷）：查被告俞易廷前因犯詐欺取財罪,1,,規定加重（被告俞易廷）：查被告俞易廷前因犯詐欺取財罪
本件有期徒刑以上之傷害罪,1,,本件有期徒刑以上之傷害罪
之之案件罪,1,,之之案件罪
罪集團用以收受隱匿詐欺贓款、規避檢警追緝之犯罪,1,是,罪集團用以收受隱匿詐欺贓款、規避檢警追緝之犯罪
罪（即前置犯罪,1,是,罪（即前置犯罪
、刑法第339條第1項之詐欺取財罪,1,,刑法第30條第1項、刑法第339條第1項之詐欺取財罪
前揭2罪,1,,前揭2罪
罪組織、第339條之4第1項第2款三人以上共同詐欺取財、修正後洗錢防制法第19條第1項後段一般洗錢等罪,1,是,罪組織、第339條之4第1項第2款三人以上共同詐欺取財、修正後洗錢防制法第19條第1項後段一般洗錢等罪
後於本院審理中坦承認罪,1,,後於本院審理中坦承認罪
附表編號1至6「本院罪,1,是,附表編號1至6「本院罪
無故變更公務機關電腦之電磁紀錄罪,1,,無故變更公務機關電腦之電磁紀錄罪
三人以上共同詐欺取財罪罪,1,,三人以上共同詐欺取財罪罪
非法持有非制式衝鋒槍罪,1,,非法持有非制式衝鋒槍罪
販賣第二級毒品而混合二種以上毒品罪,1,,販賣第二級毒品而混合二種以上毒品未遂罪
妨害幼童發育罪,1,,妨害幼童發育罪
第一、二款之無正當理由期約對價而交付三個以上金融帳戶予他人使用罪,1,,洗錢防制法第二十二條第三項第一、二款之無正當理由期約對價而交付三個以上金融帳戶予他人使用罪
散布無故攝錄他人性影像罪,1,,散布無故攝錄他人性影像罪
散布強拍他人性影像罪,1,,散布強拍他人性影像罪
散布竊拍性影像罪,1,,散布竊拍性影像罪
所定以違反本人意願之方式使兒童或少年被拍攝性影像罪,1,,所定以違反本人意願之方式使兒童或少年被拍攝性影像罪
如附表一編號1至15主文欄所示之拾伍罪,1,是,如附表一編號1至15主文欄所示之拾伍罪
發起指揮犯罪組織罪,1,,前段之發起指揮犯罪組織罪
如附表一編號二所示之各罪,1,是,如附表一編號二所示之各罪
拍攝、製造少年為性交、猥褻行為之照片、影片罪,1,,修正前兒童及少年性剝削防制條例第36條第1項之拍攝、製造少年為性交、猥褻行為之照片、影片罪
散布少年為性交、猥褻行為之照片、影片罪,1,,修正前兒童及少年性剝削防制條例第38條第1項之散布少年為性交、猥褻行為之照片、影片罪
無故竊錄他人非公開言論罪,1,,無故竊錄他人非公開言論罪
行使偽造私文書、加重詐欺取財罪,1,,行使偽造私文書、加重詐欺取財罪
公務員侵占職務上持有之非公用私有財物罪,1,,公務員侵占職務上持有之非公用私有財物罪
侵占職務上持有之非公用私有財物罪,1,,侵占職務上持有之非公用私有財物罪
攜帶兇器之加重竊盜罪,1,,攜帶兇器之加重竊盜罪
成年人與少年犯三人以上共同冒用政府機關及公務員名義詐欺取財罪,1,,成年人與少年犯三人以上共同冒用政府機關及公務員名義詐欺取財罪
、第41條之非公務機關非法利用個人資料罪,1,,個人資料保護法第20條第1項、第41條之非公務機關非法利用個人資料罪
未經同意無故攝錄他人性影像罪,1,,未經同意無故攝錄他人性影像罪
結夥三人以上侵入住宅強盜罪,1,,結夥三人以上侵入住宅強盜罪
如附表五編號1至4主文欄所示之肆罪,1,是,如附表五編號1至4主文欄所示之肆罪
無正當理由提供合計三個以上帳戶予他人使用罪,1,,無正當理由提供合計三個以上帳戶予他人使用罪
同條第4項之持有第二級毒品純質淨重二十公克以上罪,1,,持有第一級毒品罪及同條第4項之持有第二級毒品純質淨重二十公克以上罪
竊盜罪⒉被告所犯6罪,1,,竊盜罪⒉被告所犯6罪
以電子通訊、網際網路等傳播工具對公眾散布而犯詐欺取財罪,1,,行並有刑法第339條之4第1項第3款以電子通訊、網際網路等傳播工具對公眾散布而犯詐欺取財罪
對未滿14歲心智缺陷之女子犯強制猥褻罪,1,,對未滿14歲心智缺陷之女子犯強制猥褻罪
肇事致人於死逃逸罪,1,,肇事致人於死逃逸罪
無正當理由而交付合計三個以上帳戶予他人使用罪,1,,洗錢防制法第二十二條第三項第二款之無正當理由而交付合計三個以上帳戶予他人使用罪
無故以錄音竊錄他人非公開之談話罪,1,,無故以錄音竊錄他人非公開之談話罪
第項之持有第一級毒品罪,1,,第項之持有第一級毒品罪
附表編號1、2所示之罪,1,是,附表編號1、2所示之罪
罪事實：第1行：（李宇宸所犯參與犯罪,1,是,罪事實：第1行：（李宇宸所犯參與犯罪
行均犯三人以上共同詐欺取財及洗錢罪,1,,行均犯三人以上共同詐欺取財及洗錢罪
罪事實：1、第1頁第1行：（林天辰參與犯罪,1,是,罪事實：1、第1頁第1行：（林天辰參與犯罪
行、犯罪,1,,行、犯罪
罪事實：1、第1頁第1至3行：徐意珺基於參與犯罪,1,是,罪事實：1、第1頁第1至3行：徐意珺基於參與犯罪
罪組織集團（徐意珺參與犯罪,1,是,罪組織集團（徐意珺參與犯罪
、第216條之行使偽造私文書、同法第212條、第216條之行使偽造特種文書、第339條之4第1項第2款三人以上共同詐欺取財罪,1,,行所犯上開刑法第210條、第216條之行使偽造私文書、同法第212條、第216條之行使偽造特種文書、第339條之4第1項第2款三人以上共同詐欺取財罪
本件犯行供犯罪,1,,本件犯行供犯罪
轉讓偽藥等罪,1,,轉讓偽藥等罪
罪事實：第1頁第1行：（黃子修參與犯罪,1,是,罪事實：第1頁第1行：（黃子修參與犯罪
罪所得已經被告繳交其犯罪,1,是,罪所得已經被告繳交其犯罪
罪事實欄一㈠、㈡部分）無罪,1,是,罪事實欄一㈠、㈡部分）無罪
發起犯罪組織罪,1,,前段之發起犯罪組織罪
、同法第339條第2項之幫助詐欺得利罪,1,,刑法第30條第1項、同法第339條第2項之幫助詐欺得利罪
